Node CPU Utilization (%)
nodes cluster-1-node1 cluster-1-node2 cluster-2-node1 cluster-2-node2 cluster-3-node1 cluster-3-node2
replica-1 7,00 7,00 0,00 0,00 0,00 0,00
replicas-5 39,00 39,00 0,00 0,00 0,00 0,00
replicas-10 78,00 78,00 0,00 0,00 0,00 0,00
replicas-20 99,60 99,00 0,00 0,00 99,20 12,80
replicas-30 99,50 99,70 69,40 0,00 98,40 99,50
