Cluster Memory Utilization (%)
clusters cluster-1 cluster-2 cluster-3
light-memory 6,00 2,00 7,90
medium-memory 25,00 8,00 33,00
large-memory 100,00 100,00 100,00
mixture-memory 6,00 2,00 45,00
