Node CPU Utilization (%)
nodes cluster-1-node1 cluster-1-node2 cluster-2-node1 cluster-2-node2 cluster-2-node3 cluster-3-node1 cluster-3-node2 cluster-3-node3 cluster-3-node4
light-memory 100,00 100,00 100,00 0,00 0,00 100,00 99,00 100,00 100,00
medium-memory 100,00 100,00 100,00 0,00 0,00 50,00 50,00 50,00 50,00
large-memory 100,00 100,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00
mixture-memory 100,00 100,00 0,00 0,00 0,00 100,00 50,00 50,00 49,00
