Node Memory Utilization (%)
nodes cluster-1-node1 cluster-1-node2 cluster-2-node1 cluster-2-node2 cluster-2-node3 cluster-3-node1 cluster-3-node2 cluster-3-node3 cluster-3-node4
light-memory 6,00 6,00 6,00 0,00 0,00 48,00 48,00 48,00 48,00
medium-memory 25,00 25,00 25,00 0,00 0,00 100,00 100,00 100,00 100,00
large-memory 100,00 100,00 0,00 0,00 0,00 0,00 0,00 0,00 0,00
mixture-memory 6,00 6,00 0,00 0,00 0,00 124,00 24,00 24,00 24,00
