Cluster CPU Utilization (%)
clusters cluster-1 cluster-2 cluster-3
light-memory 100,00 33,00 100,00
medium-memory 100,00 33,00 50,00
large-memory 100,00 0,00 0,00
mixture-memory 100,00 0,00 62,00
