Cluster CPU Utilization (%)
clusters cluster-1 cluster-2 cluster-3
light-cpu 99,80 0,00 30,00
medium-cpu 100,00 38,60 97,10
large-cpu 100,00 36,40 98,40
mixture-cpu 99,90 41,00 98,00
